seed,trial,n,m,rank_requested,rank_used,k_ratio,svd_topk_err,random_AB_err,rand_svd_subspace_err,leverage_col_err,random_colprune_err,params_svd_topk,params_random_AB,nnz_svd_col,topk_energy
0,22,128,64,32,32,0.5,0.45998873605091145,1.4296791700277864,0.694408414349588,0.677741062189205,0.7127094741076482,6176,6144,4096,0.7884103627062847
0,23,128,64,32,32,0.5,0.46104959208504104,1.421467059719458,0.7056762950654031,0.6708677743158502,0.7075373786234314,6176,6144,4096,0.7874332736382172
0,24,128,64,32,32,0.5,0.45616621560815535,1.4111964803884993,0.7095018961100904,0.668857962177228,0.7154999576944797,6176,6144,4096,0.7919123837377339
0,25,128,64,32,32,0.5,0.46104165033256034,1.3989474630514196,0.6581919248643063,0.6787036542045304,0.7121652790301908,6176,6144,4096,0.7874405966586292
0,26,128,64,32,32,0.5,0.4539698134232668,1.4021763937093188,0.6193085266994851,0.6720498514784736,0.7148793023008035,6176,6144,4096,0.7939114085004443
0,27,128,64,32,32,0.5,0.4612562381338791,1.4146872409035471,0.7155996543336025,0.6734908748441799,0.7112249968597651,6176,6144,4096,0.787242682782582
0,28,128,64,32,32,0.5,0.46433562207918916,1.4094846073740632,0.7625825184508224,0.6699744521681689,0.712966785714208,6176,6144,4096,0.7843924300683325
0,29,128,64,32,32,0.5,0.459425961658595,1.4196883883527982,0.6979547920466685,0.672510880483068,0.7069455528555334,6176,6144,4096,0.7889277857540752
0,30,128,64,32,32,0.5,0.4597173916179159,1.3968575940691264,0.6926148776521404,0.6721580469635549,0.7086907104757945,6176,6144,4096,0.7886599198440198
0,31,128,64,32,32,0.5,0.45671791194054767,1.3978416678540855,0.6546645445556591,0.6677987908837231,0.7190111518655868,6176,6144,4096,0.791408748912666
0,32,128,64,32,32,0.5,0.4601666102382735,1.4130973599970782,0.6925242285992107,0.6700074067602994,0.7087835452124489,6176,6144,4096,0.7882466908218169
0,33,128,64,32,32,0.5,0.4594726544903125,1.4123721810128795,0.7416056432679758,0.6756555393030591,0.7091658510216492,6176,6144,4096,0.7888848797756259
0,34,128,64,32,32,0.5,0.4603310152569021,1.4128450745675252,0.7193388203327068,0.6680969267045601,0.7047294883760863,6176,6144,4096,0.7880953563925496
0,35,128,64,32,32,0.5,0.45197680719131766,1.4159150475174007,0.7422086178824183,0.6768911056415182,0.7114413252587919,6176,6144,4096,0.7957169657611425
0,36,128,64,32,32,0.5,0.45420509927822744,1.415834554863787,0.7082267296103453,0.6654703025150742,0.7111571772692665,6176,6144,4096,0.7936977277896555
0,37,128,64,32,32,0.5,0.4581285919439636,1.408633952146212,0.7034688153895541,0.668617798532454,0.7078432416774901,6176,6144,4096,0.7901181932434413
0,38,128,64,32,32,0.5,0.4603250889555739,1.4215891911953848,0.6770340399171768,0.6695210784651582,0.7128700030968518,6176,6144,4096,0.7881008124780429
0,39,128,64,32,32,0.5,0.4621091594897666,1.4073065898395418,0.6701977582725095,0.6724034925100849,0.7074863026208859,6176,6144,4096,0.7864551247156615
